index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
0,1000,greedy_trap,12,16,1,5,3,3,True,1.0,1.5,4.0,True,True
1,1001,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
2,1002,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
3,1003,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4,1004,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
5,1005,random_regular,14,49,7,7,3,3,True,1.0,1.7143,4.0,True,True
6,1006,random_dense,12,20,1,5,3,3,True,1.0,1.5,4.0,True,True
7,1007,greedy_trap,8,11,1,4,2,2,True,1.0,1.25,4.0,True,True
8,1008,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
9,1009,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
10,1010,circulant_efficient,12,48,8,8,2,2,True,1.0,1.5,4.0,True,True
11,1011,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
12,1012,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
13,1013,random_dense,14,53,5,10,2,2,True,1.0,1.5714,4.0,True,True
14,1014,greedy_trap,13,18,2,5,4,4,True,1.0,1.8462,4.0,True,True
15,1015,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
16,1016,perfect_code_perturbed,16,34,4,6,4,4,True,1.0,1.75,4.0,True,True
17,1017,circulant_efficient,16,80,10,10,2,2,True,1.0,1.375,4.0,True,True
18,1018,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
19,1019,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
20,1020,random_dense,8,12,1,5,3,3,True,1.0,2.25,4.0,True,True
21,1021,greedy_trap,16,21,1,4,4,4,True,1.0,1.25,4.0,True,True
22,1022,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
23,1023,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
24,1024,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
25,1025,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
26,1026,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
27,1027,random_dense,8,13,2,5,2,2,True,1.0,1.5,4.0,True,True
28,1028,greedy_trap,14,18,1,4,3,3,True,1.0,1.0714,4.0,True,True
29,1029,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
30,1030,perfect_code_perturbed,13,27,4,5,3,3,True,1.0,1.3846,4.0,True,True
31,1031,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
32,1032,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
33,1033,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
34,1034,random_dense,8,15,3,5,2,2,True,1.0,1.5,4.0,True,True
35,1035,greedy_trap,14,16,1,4,4,4,True,1.0,1.4286,4.0,True,True
36,1036,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
37,1037,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
