case,family,strategy,n,m,optimum_size,reference_type,candidate_size,valid,ratio_to_optimum,seconds,error,min_valid_candidate_size,attains_min_valid_candidate,attains_optimum
er_sparse_000,erdos_renyi_sparse,closed_degree,6,0,6,exact_exhaustive,6,True,1.0,1.1999974958598614e-05,,6,True,True
er_sparse_000,erdos_renyi_sparse,low_degree_witness,6,0,6,exact_exhaustive,6,True,1.0,1.0100018698722124e-05,,6,True,True
er_sparse_000,erdos_renyi_sparse,medium_degree_witness,6,0,6,exact_exhaustive,6,True,1.0,7.599999662488699e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,order_ownership_late,6,0,6,exact_exhaustive,6,True,1.0,8.300004992634058e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,order_ownership_early,6,0,6,exact_exhaustive,6,True,1.0,7.499998901039362e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,seed_and_complete,6,0,6,exact_exhaustive,6,True,1.0,6.699992809444666e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,salvador_auxiliary,6,0,6,exact_exhaustive,6,True,1.0,6.499991286545992e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,reverse_delete_input,6,0,6,exact_exhaustive,6,True,1.0,7.399998139590025e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,reverse_delete_reverse,6,0,6,exact_exhaustive,6,True,1.0,6.799993570894003e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,reverse_delete_high_degree,6,0,6,exact_exhaustive,6,True,1.0,6.400048732757568e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,reverse_delete_low_degree,6,0,6,exact_exhaustive,6,True,1.0,6.499991286545992e-06,,6,True,True
er_sparse_000,erdos_renyi_sparse,lifted_tscc_baker,6,0,6,exact_exhaustive,6,True,1.0,7.299997378140688e-06,,6,True,True
er_sparse_001,erdos_renyi_sparse,closed_degree,7,3,5,exact_exhaustive,5,True,1.0,2.4500011932104826e-05,,5,True,True
er_sparse_001,erdos_renyi_sparse,low_degree_witness,7,3,5,exact_exhaustive,5,True,1.0,2.269999822601676e-05,,5,True,True
er_sparse_001,erdos_renyi_sparse,medium_degree_witness,7,3,5,exact_exhaustive,5,True,1.0,2.4100008886307478e-05,,5,True,True
er_sparse_001,erdos_renyi_sparse,order_ownership_late,7,3,5,exact_exhaustive,4,False,,1.8799968529492617e-05,,5,False,False
er_sparse_001,erdos_renyi_sparse,order_ownership_early,7,3,5,exact_exhaustive,4,False,,1.4399993233382702e-05,,5,False,False
er_sparse_001,erdos_renyi_sparse,seed_and_complete,7,3,5,exact_exhaustive,5,True,1.0,2.6300025638192892e-05,,5,True,True
