case,family,strategy,n,m,reference_size,reference_type,candidate_size,valid,ratio_to_reference,seconds,error,min_valid_candidate_size,attains_min_valid_candidate
path_12,smoke,closed_degree,12,11,4,exact_formula,4,True,1.0,7.150002056732774e-05,,4,True
path_12,smoke,low_degree_witness,12,11,4,exact_formula,4,True,1.0,7.27999722585082e-05,,4,True
path_12,smoke,medium_degree_witness,12,11,4,exact_formula,4,True,1.0,7.569999434053898e-05,,4,True
path_12,smoke,order_ownership_late,12,11,4,exact_formula,0,False,,2.7099973522126675e-05,,4,False
path_12,smoke,order_ownership_early,12,11,4,exact_formula,0,False,,2.2599997464567423e-05,,4,False
path_12,smoke,seed_and_complete,12,11,4,exact_formula,4,True,1.0,0.0005852999747730792,,4,True
path_12,smoke,salvador_auxiliary,12,11,4,exact_formula,4,True,1.0,0.0006670999573543668,,4,True
path_12,smoke,reverse_delete_input,12,11,4,exact_formula,4,True,1.0,4.0899962186813354e-05,,4,True
path_12,smoke,reverse_delete_reverse,12,11,4,exact_formula,4,True,1.0,5.990004865452647e-05,,4,True
path_12,smoke,reverse_delete_high_degree,12,11,4,exact_formula,5,True,1.25,7.229996845126152e-05,,4,False
path_12,smoke,reverse_delete_low_degree,12,11,4,exact_formula,4,True,1.0,6.48999703116715e-05,,4,True
path_12,smoke,lifted_tscc_baker,12,11,4,exact_formula,4,True,1.0,0.00018820003606379032,,4,True
cycle_12,smoke,closed_degree,12,12,4,exact_formula,4,True,1.0,6.659998325631022e-05,,4,True
cycle_12,smoke,low_degree_witness,12,12,4,exact_formula,4,True,1.0,6.610003765672445e-05,,4,True
cycle_12,smoke,medium_degree_witness,12,12,4,exact_formula,4,True,1.0,7.110001752153039e-05,,4,True
cycle_12,smoke,order_ownership_late,12,12,4,exact_formula,0,False,,2.2599997464567423e-05,,4,False
cycle_12,smoke,order_ownership_early,12,12,4,exact_formula,0,False,,1.8899969290941954e-05,,4,False
cycle_12,smoke,seed_and_complete,12,12,4,exact_formula,4,True,1.0,0.0005160999717190862,,4,True
cycle_12,smoke,salvador_auxiliary,12,12,4,exact_formula,4,True,1.0,0.0006726999999955297,,4,True
cycle_12,smoke,reverse_delete_input,12,12,4,exact_formula,4,True,1.0,6.399996345862746e-05,,4,True
cycle_12,smoke,reverse_delete_reverse,12,12,4,exact_formula,4,True,1.0,6.0399994254112244e-05,,4,True
cycle_12,smoke,reverse_delete_high_degree,12,12,4,exact_formula,4,True,1.0,7.559999357908964e-05,,4,True
cycle_12,smoke,reverse_delete_low_degree,12,12,4,exact_formula,4,True,1.0,6.559997564181685e-05,,4,True
cycle_12,smoke,lifted_tscc_baker,12,12,4,exact_formula,4,True,1.0,0.00042480003321543336,,4,True
complete_bipartite_4_5,salvador_sanity,closed_degree,9,20,2,exact_argument,4,True,2.0,7.71000050008297e-05,,2,False
complete_bipartite_4_5,salvador_sanity,low_degree_witness,9,20,2,exact_argument,4,True,2.0,5.9399986639618874e-05,,2,False
complete_bipartite_4_5,salvador_sanity,medium_degree_witness,9,20,2,exact_argument,4,True,2.0,6.0399994254112244e-05,,2,False
complete_bipartite_4_5,salvador_sanity,order_ownership_late,9,20,2,exact_argument,4,True,2.0,5.6100019719451666e-05,,2,False
complete_bipartite_4_5,salvador_sanity,order_ownership_early,9,20,2,exact_argument,4,True,2.0,5.030003376305103e-05,,2,False
complete_bipartite_4_5,salvador_sanity,seed_and_complete,9,20,2,exact_argument,2,True,1.0,6.200000643730164e-05,,2,True
complete_bipartite_4_5,salvador_sanity,salvador_auxiliary,9,20,2,exact_argument,4,True,2.0,0.0010173000046052039,,2,False
complete_bipartite_4_5,salvador_sanity,reverse_delete_input,9,20,2,exact_argument,5,True,2.5,3.9499951526522636e-05,,2,False
complete_bipartite_4_5,salvador_sanity,reverse_delete_reverse,9,20,2,exact_argument,4,True,2.0,5.299999611452222e-05,,2,False
complete_bipartite_4_5,salvador_sanity,reverse_delete_high_degree,9,20,2,exact_argument,5,True,2.5,4.3300038669258356e-05,,2,False
complete_bipartite_4_5,salvador_sanity,reverse_delete_low_degree,9,20,2,exact_argument,4,True,2.0,3.9700011257082224e-05,,2,False
complete_bipartite_4_5,salvador_sanity,lifted_tscc_baker,9,20,2,exact_argument,2,True,1.0,0.00019789999350905418,,2,True
planted_pair_decoy_q8,planted_pair_decoy_booster,closed_degree,121,564,2,exact_argument,8,True,4.0,0.00045200000749900937,,2,False
planted_pair_decoy_q8,planted_pair_decoy_booster,low_degree_witness,121,564,2,exact_argument,2,True,1.0,0.0001666999887675047,,2,True
planted_pair_decoy_q8,planted_pair_decoy_booster,medium_degree_witness,121,564,2,exact_argument,8,True,4.0,0.0005170000367797911,,2,False
planted_pair_decoy_q8,planted_pair_decoy_booster,order_ownership_late,121,564,2,exact_argument,8,True,4.0,0.0005342999938875437,,2,False
planted_pair_decoy_q8,planted_pair_decoy_booster,order_ownership_early,121,564,2,exact_argument,2,True,1.0,0.0003492000396363437,,2,True
planted_pair_decoy_q8,planted_pair_decoy_booster,seed_and_complete,121,564,2,exact_argument,2,True,1.0,0.00031510001281276345,,2,True
