strategy,instances,valid_instances,valid_percent,min_attaining_instances,min_attaining_percent,mean_size_valid,mean_ratio_to_reference_valid,max_ratio_to_reference_valid,total_seconds
closed_degree,12,12,100.0,3,25.0,10.666666666666666,3.3645833333333335,6.0,0.013207900046836585
low_degree_witness,12,12,100.0,9,75.0,4.333333333333333,1.5833333333333333,5.0,0.005217099969740957
medium_degree_witness,12,12,100.0,7,58.333333333333336,5.083333333333333,1.9583333333333333,5.0,0.00668080011382699
order_ownership_late,12,10,83.33333333333333,4,33.333333333333336,8.0,3.0,6.0,0.007078099995851517
order_ownership_early,12,10,83.33333333333333,3,25.0,12.4,3.35,6.0,0.013640700082760304
seed_and_complete,12,12,100.0,12,100.0,3.1666666666666665,1.0,1.0,1.2644943001214415
salvador_auxiliary,12,12,100.0,4,33.333333333333336,8.5,3.03125,9.0,2.155572800023947
reverse_delete_input,12,12,100.0,2,16.666666666666668,112.5,39.583333333333336,160.0,0.02734859986230731
reverse_delete_reverse,12,12,100.0,7,58.333333333333336,8.916666666666666,2.3645833333333335,6.0,0.025482699915301055
reverse_delete_high_degree,12,12,100.0,1,8.333333333333334,112.66666666666667,39.645833333333336,160.0,0.028463299968279898
reverse_delete_low_degree,12,12,100.0,3,25.0,10.583333333333334,3.3541666666666665,6.0,0.03538839990505949
lifted_tscc_baker,12,12,100.0,5,41.666666666666664,10.333333333333334,3.0625,6.5,0.17503459996078163
